AFFGEOID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,Shape,Shape.STArea(),Shape.STLength()
0500000US39049,39,OHIO,OH,Franklin,39049,"Franklin County, Ohio",532.24078615,1197592.0,0.0,533352.0,552.0,474683.0,2001.0,210472.0,5237.0,52751.0,2021.0,28807.0,254.0,79843.0,2021.0,124199.0,29.0,284677.0,0.0,138097.0,2549.0,52323.0,1553.3,402637.0,513.0,24204.0,1458.6,76011.0,1755.0,5475.0,394.0,10023.0,832.2,39760.0,1125.0,25394.0,1217.0,18.0,0.4,8.1,0.3,28807.0,254.0,10.2,0.3,10.4,0.1,23.8,0.0,11.6,0.2,11.0,0.3,33.6,0.0,2.2,0.1,14.3,0.3,1.0,0.1,2.1,0.2,8.4,0.2,2.1,0.1,0.7011,0.3218,0.0805,0.2299,1.3333,0.2874,0.0,0.5977,0.1379,0.908,1.6437,0.2069,0.9885,0.9885,1.977,0.9885,0.977,0.0115,0.931,0.8276,0.5287,3.2759,0.8851,8.2299,0.6092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,5.0,148034.0,3938.0,12.4,0.3,1314629.0,"(-83.0093427756272, 39.96951971461468)",0.14840148039548573,1.6990869889163078
0500000US39057,39,OHIO,OH,Greene,39057,"Greene County, Ohio",413.73230584,163313.0,0.0,68752.0,261.0,63549.0,696.0,22039.0,1710.0,6558.0,600.0,30629.0,598.0,8160.0,567.0,23845.0,84.0,34584.0,0.0,19138.0,878.0,5263.0,421.6,24986.0,86.0,1230.0,302.6,6213.0,508.9,904.0,174.0,452.0,164.6,3344.0,305.0,9139.0,610.0,14.3,1.1,8.1,0.7,30629.0,598.0,7.6,0.5,14.6,0.1,21.2,0.0,12.0,0.6,8.3,0.7,15.3,0.1,0.8,0.2,9.0,0.7,1.3,0.3,0.7,0.3,5.3,0.5,5.6,0.4,0.3678,0.3218,0.046,0.046,0.7816,0.1379,0.2759,0.1034,0.1954,0.3333,0.908,0.0345,0.8736,0.7816,1.6552,0.908,0.8851,0.069,0.0805,0.2299,0.8736,2.1379,0.3103,5.4828,0.1724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13247.0,1169.0,8.3,0.7,179627.0,"(-83.88988995667005, 39.69146417067091)",0.11320527405989525,1.4459484736842616
0500000US39059,39,OHIO,OH,Guernsey,39059,"Guernsey County, Ohio",522.2536251,39794.0,0.0,19127.0,64.0,15564.0,349.0,7332.0,757.0,2140.0,316.0,21559.0,790.0,4046.0,390.0,6712.0,38.0,9109.0,164.0,6615.0,439.0,1493.0,231.3,1910.0,26.0,148.0,107.9,483.0,113.8,2978.0,344.0,208.0,75.0,1113.0,168.0,524.0,117.0,18.7,1.9,11.6,1.6,21559.0,790.0,14.8,1.4,16.9,0.1,22.9,0.4,16.8,1.1,9.6,1.5,4.8,0.1,0.4,0.3,2.5,0.6,15.6,1.8,1.3,0.5,7.2,1.0,1.3,0.3,0.7816,0.908,0.7471,0.8046,3.2414,0.8966,0.7471,0.3563,0.8046,0.6437,2.5517,0.8736,0.3103,0.4598,0.7701,0.3333,0.3333,0.8621,0.5517,0.6322,0.3218,2.7011,0.5517,9.2644,0.8391,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5017.0,529.0,12.8,1.3,37109.0,"(-81.49425337244621, 40.05203781319015)",0.14441708383956897,1.7449266680152549
0500000US39067,39,OHIO,OH,Harrison,39067,"Harrison County, Ohio",402.33174506,15698.0,0.0,8130.0,49.0,6333.0,218.0,2752.0,382.0,489.0,147.0,22180.0,1478.0,1481.0,186.0,3011.0,55.0,3334.0,20.0,2345.0,234.0,553.0,135.1,730.0,11.0,34.0,68.0,96.0,49.2,1203.0,174.0,57.0,29.4,316.0,82.0,259.0,112.0,17.9,2.5,6.7,2.0,22180.0,1478.0,13.2,1.6,19.2,0.4,21.2,0.1,15.2,1.5,8.7,2.1,4.7,0.1,0.2,0.5,1.2,0.6,14.8,2.2,0.9,0.5,5.0,1.3,1.6,0.7,0.6782,0.1264,0.6897,0.6552,2.1494,0.5517,0.9655,0.1149,0.6322,0.4483,2.1609,0.6207,0.2989,0.2299,0.5287,0.1954,0.046,0.7931,0.2069,0.1724,0.3908,1.6092,0.1379,6.4483,0.3103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1719.0,295.0,11.1,1.9,13440.0,"(-81.09112586089955, 40.29382530880572)",0.11266482105697895,1.4617113364717311
0500000US39075,39,OHIO,OH,Holmes,39075,"Holmes County, Ohio",422.53290981,43176.0,0.0,13632.0,67.0,12516.0,239.0,6084.0,949.0,1058.0,199.0,17716.0,698.0,10773.0,486.0,5149.0,49.0,14488.0,66.0,3648.0,337.0,513.0,131.2,863.0,25.0,1354.0,296.3,134.0,60.2,1264.0,249.0,563.0,126.6,3902.0,269.0,852.0,221.0,14.4,2.2,5.5,1.0,17716.0,698.0,44.2,2.0,11.9,0.1,33.6,0.2,8.6,0.8,4.1,1.0,2.0,0.1,3.5,0.8,1.0,0.4,9.3,1.8,4.5,1.0,31.2,2.0,2.0,0.5,0.3908,0.0345,0.977,1.0,2.4023,0.6322,0.046,1.0,0.0115,0.0,1.0575,0.046,0.0,1.0,1.0,0.5057,0.0115,0.6782,1.0,1.0,0.5057,3.1954,0.8506,7.6552,0.5057,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,18513.0,1130.0,43.7,2.7,41985.0,"(-81.92933789013732, 40.56120735003956)",0.11676485930253265,1.5952234700714625
0500000US39089,39,OHIO,OH,Licking,39089,"Licking County, Ohio",682.48808175,167911.0,0.0,69621.0,233.0,64146.0,596.0,20271.0,1496.0,6423.0,558.0,27082.0,623.0,11920.0,737.0,23802.0,69.0,40491.0,0.0,22528.0,983.0,5547.0,530.1,13563.0,63.0,491.0,195.1,2727.0,345.1,3003.0,351.0,912.0,220.5,3479.0,300.0,3592.0,530.0,12.4,0.9,7.3,0.6,27082.0,623.0,10.6,0.7,14.2,0.1,24.1,0.0,13.5,0.6,8.6,0.8,8.1,0.0,0.3,0.1,3.9,0.5,4.3,0.5,1.4,0.3,5.4,0.5,2.1,0.3,0.1839,0.1724,0.1839,0.3103,0.8506,0.1494,0.2069,0.6897,0.3448,0.4368,1.6782,0.2644,0.5747,0.3448,0.9195,0.4483,0.5747,0.2759,0.5977,0.2529,0.5402,2.2414,0.3333,5.6897,0.2184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16584.0,1164.0,10.0,0.7,149928.0,"(-82.48314376152273, 40.09160613838006)",0.18803529292439222,1.849993435050706
0500000US39105,39,OHIO,OH,Meigs,39105,"Meigs County, Ohio",430.10168237,23564.0,0.0,11101.0,57.0,9486.0,234.0,5346.0,580.0,1404.0,218.0,19097.0,800.0,2900.0,330.0,3894.0,24.0,5246.0,9.0,4773.0,362.0,856.0,169.2,691.0,9.0,25.0,80.0,208.0,67.5,2612.0,246.0,84.0,51.0,637.0,120.0,234.0,118.0,23.0,2.5,14.1,2.2,19097.0,800.0,17.6,2.0,16.5,0.1,22.3,0.0,20.4,1.6,9.0,1.8,2.9,0.0,0.1,0.4,1.9,0.6,23.5,2.2,0.9,0.5,6.7,1.2,1.0,0.5,0.9425,0.954,0.954,0.908,3.7586,0.9655,0.6667,0.2644,0.954,0.5402,2.4253,0.8276,0.046,0.1034,0.1494,0.046,0.2069,0.954,0.1954,0.5287,0.092,1.977,0.2529,8.3103,0.6322,1.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,3286.0,405.0,14.1,1.7,19127.0,"(-82.02282930440522, 39.08223662804862)",0.1167201905375083,1.93952395926699
0500000US39119,39,OHIO,OH,Muskingum,39119,"Muskingum County, Ohio",664.60593287,85947.0,0.0,37906.0,163.0,34160.0,469.0,16058.0,1130.0,3985.0,418.0,20887.0,566.0,7731.0,609.0,13658.0,53.0,20263.0,0.0,13511.0,871.0,3978.0,373.7,6762.0,117.0,124.0,92.3,1687.0,274.4,3513.0,346.0,526.0,146.0,2814.0,265.0,1996.0,383.0,19.2,1.4,9.7,1.0,20887.0,566.0,13.4,1.0,15.9,0.1,23.6,0.0,15.9,1.0,11.6,1.1,7.9,0.1,0.2,0.1,4.5,0.7,9.3,0.9,1.5,0.4,8.2,0.8,2.3,0.4,0.8621,0.6322,0.8391,0.6782,3.0115,0.8161,0.4943,0.5172,0.7011,0.9655,2.6782,0.908,0.5632,0.1494,0.7126,0.2644,0.6207,0.6782,0.6897,0.8046,0.5977,3.3908,0.9195,9.7931,0.8966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10278.0,848.0,12.1,1.0,89972.0,"(-81.94436917342718, 39.96544274225362)",0.18365954688279473,1.877618741715725
0500000US39145,39,OHIO,OH,Scioto,39145,"Scioto County, Ohio",610.21499818,78520.0,0.0,34100.0,231.0,29558.0,498.0,18284.0,1108.0,3474.0,425.0,20045.0,745.0,9490.0,667.0,12520.0,69.0,17485.0,6.0,16229.0,782.0,2644.0,364.4,4952.0,10.0,269.0,146.8,1550.0,207.7,5260.0,445.0,384.0,163.6,2571.0,302.0,3580.0,554.0,24.5,1.5,11.1,1.3,20045.0,745.0,17.7,1.2,15.9,0.1,22.3,0.0,21.4,1.0,8.9,1.2,6.3,0.0,0.4,0.2,4.5,0.6,15.4,1.3,1.3,0.6,8.7,1.0,4.6,0.7,0.977,0.8621,0.908,0.9195,3.6667,0.9425,0.4943,0.2759,0.9885,0.4943,2.2529,0.7126,0.4253,0.4138,0.8391,0.3908,0.6437,0.8391,0.5172,0.8621,0.8391,3.7011,0.9885,10.4598,0.954,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10798.0,846.0,14.3,1.1,78069.0,"(-82.9928281504854, 38.80399961095548)",0.1654516493653479,2.268506241403838
0500000US39153,39,OHIO,OH,Summit,39153,"Summit County, Ohio",412.84065926,541464.0,0.0,245178.0,322.0,220710.0,1265.0,78494.0,2264.0,26798.0,1189.0,28389.0,335.0,34669.0,1185.0,83065.0,0.0,119945.0,0.0,67132.0,1765.0,20520.0,861.9,113913.0,292.0,4803.0,685.0,25317.0,982.0,2330.0,280.0,1901.0,247.7,19659.0,834.0,8982.0,771.0,14.7,0.4,9.5,0.4,28389.0,335.0,9.3,0.3,15.3,0.0,22.2,0.0,12.5,0.3,9.3,0.4,21.0,0.1,0.9,0.1,10.3,0.4,1.0,0.1,0.9,0.1,8.9,0.4,1.7,0.1,0.4483,0.5747,0.1264,0.1839,1.3333,0.2759,0.3678,0.2529,0.2299,0.5862,1.4368,0.1379,0.931,0.8506,1.7816,0.9195,0.931,0.0115,0.1494,0.8736,0.4023,2.3678,0.4138,6.9195,0.3793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,54923.0,2332.0,10.2,0.4,562858.0,"(-81.53216653986084, 41.12597576225755)",0.11668298771591878,1.546283387138211
