ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
39,OHIO,OH,Licking,39089,"Licking County, Ohio",682.37473262334,169762.0,0.0,69927.0,155.0,64034.0,597.0,20814.0,1515.0,5829.0,525.0,27934.0,632.0,10950.0,759.0,25550.0,98.0,40320.0,0.0,23367.0,1040.0,5915.0,530.5,14563.0,222.0,326.0,168.5,2526.0,347.9,2973.0,372.0,897.0,186.3,3140.0,319.0,3744.0,339.0,12.6,0.9,6.6,0.6,27934.0,632.0,9.6,0.7,15.1,0.1,23.8,0.0,13.9,0.6,9.2,0.8,8.6,0.1,0.2,0.1,3.6,0.5,4.3,0.5,1.4,0.3,4.9,0.5,2.2,0.2,0.2874,0.4598,0.2069,0.2414,1.1954,0.2299,0.2069,0.6897,0.3448,0.5747,1.8161,0.3333,0.5862,0.1954,0.7816,0.3333,0.5402,0.2874,0.5632,0.1609,0.5402,2.092,0.2529,5.8850999999999996,0.2299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13775.0,1108.0,8.2,0.7,146802.0
39,OHIO,OH,Logan,39091,"Logan County, Ohio",458.433131686496,45388.0,0.0,23174.0,70.0,18720.0,375.0,6258.0,898.0,1331.0,208.0,25877.0,854.0,3235.0,341.0,7508.0,77.0,10919.0,0.0,6508.0,502.0,1704.0,270.1,2772.0,27.0,316.0,223.5,558.0,147.1,2384.0,268.0,314.0,111.7,1093.0,191.0,391.0,147.0,14.0,2.0,5.9,0.9,25877.0,854.0,10.4,1.1,16.5,0.2,24.1,0.0,14.4,1.1,9.1,1.4,6.1,0.1,0.7,0.5,2.4,0.6,10.3,1.2,1.7,0.6,5.8,1.0,0.9,0.3,0.4368,0.2759,0.3563,0.4023,1.4713,0.3218,0.4483,0.7471,0.4253,0.5172,2.1379,0.5747,0.3908,0.7701,1.1609,0.6092,0.3218,0.7241,0.7816,0.3448,0.0345,2.2069,0.3333,6.977,0.3793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4759.0,739.0,10.6,1.6,42276.0
39,OHIO,OH,Lorain,39093,"Lorain County, Ohio",491.121887629944,304091.0,0.0,128766.0,318.0,117609.0,841.0,41156.0,2197.0,12394.0,814.0,27537.0,448.0,22530.0,883.0,49573.0,62.0,69448.0,31.0,45940.0,1259.0,12412.0,720.5,63252.0,56.0,3210.0,435.3,10608.0,624.4,2822.0,246.0,1256.0,252.9,8353.0,542.0,9516.0,766.0,14.0,0.7,8.2,0.5,27537.0,448.0,10.8,0.4,16.3,0.1,22.8,0.0,15.4,0.4,10.6,0.6,20.8,0.0,1.1,0.2,8.2,0.5,2.2,0.2,1.1,0.2,7.1,0.5,3.1,0.3,0.4368,0.7471,0.2184,0.4828,1.8851,0.4828,0.4138,0.3908,0.6092,0.8621,2.2759,0.6667,0.9195,0.8621,1.7816,0.9195,0.8506,0.1494,0.2874,0.5862,0.7356,2.6092,0.5632,8.5517,0.6782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20435.0,1322.0,6.9,0.4,265398.0
39,OHIO,OH,Lucas,39095,"Lucas County, Ohio",340.855675349918,434800.0,0.0,202307.0,316.0,178477.0,961.0,87717.0,2451.0,20764.0,897.0,25977.0,380.0,32517.0,1216.0,63504.0,17.0,101089.0,58.0,65467.0,1602.0,22018.0,979.7,131560.0,193.0,3151.0,460.6,24544.0,1014.9,5008.0,433.0,1942.0,304.8,19679.0,836.0,9940.0,604.0,20.7,0.6,9.6,0.4,25977.0,380.0,11.2,0.4,14.6,0.1,23.2,0.0,15.2,0.4,12.3,0.5,30.3,0.0,0.8,0.1,12.1,0.5,2.5,0.2,1.1,0.2,11.0,0.5,2.3,0.1,0.8966,0.8966,0.3448,0.5402,2.6782,0.7356,0.1609,0.5402,0.5632,1.0,2.2644,0.6552,0.9655,0.8046,1.7701,0.908,0.9655,0.1609,0.3103,0.9655,0.5862,2.9885,0.7586,9.7011,0.8966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,36690.0,1334.0,8.5,0.3,471642.0
39,OHIO,OH,Madison,39097,"Madison County, Ohio",465.888491035096,43537.0,0.0,15964.0,134.0,14809.0,201.0,4061.0,644.0,1269.0,213.0,25687.0,1080.0,4086.0,369.0,6125.0,109.0,9239.0,59.0,5849.0,412.0,1503.0,239.1,4716.0,17.0,225.0,153.2,551.0,149.9,839.0,132.0,234.0,102.6,938.0,165.0,5081.0,242.0,10.6,1.7,6.4,1.1,25687.0,1080.0,13.3,1.2,14.1,0.3,21.2,0.1,15.2,1.1,10.1,1.6,10.8,0.0,0.5,0.4,3.5,0.9,5.3,0.8,1.6,0.7,6.3,1.1,11.7,0.6,0.1494,0.4023,0.3678,0.7356,1.6552,0.3563,0.1034,0.1954,0.5632,0.7931,1.6552,0.2529,0.7356,0.6437,1.3793,0.7586,0.4943,0.4023,0.7126,0.4253,0.977,3.0115,0.7816,7.7011,0.5402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3231.0,452.0,8.4,1.2,39799.0
39,OHIO,OH,Mahoning,39099,"Mahoning County, Ohio",411.507358703608,233015.0,0.0,111275.0,314.0,97484.0,837.0,40823.0,1752.0,10044.0,565.0,24651.0,532.0,16299.0,832.0,44610.0,72.0,47925.0,26.0,35610.0,1163.0,9777.0,596.7,54295.0,86.0,2687.0,424.6,8363.0,543.4,1593.0,190.0,694.0,159.5,8635.0,530.0,7206.0,581.0,18.1,0.8,8.9,0.5,24651.0,532.0,9.9,0.5,19.1,0.1,20.6,0.0,15.6,0.5,10.0,0.6,23.3,0.0,1.2,0.2,7.5,0.5,1.4,0.2,0.7,0.2,8.9,0.5,3.1,0.2,0.7586,0.8276,0.4598,0.3218,2.3678,0.6437,0.8736,0.0805,0.6437,0.7816,2.3793,0.7241,0.9425,0.9195,1.8620999999999999,0.977,0.8391,0.092,0.0805,0.8621,0.7126,2.5862,0.5402,9.1954,0.7931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17749.0,1027.0,7.8,0.5,238897.0
39,OHIO,OH,Marion,39101,"Marion County, Ohio",403.757238277352,65620.0,0.0,27783.0,241.0,24418.0,443.0,10299.0,1244.0,2248.0,281.0,21177.0,789.0,6192.0,519.0,10467.0,90.0,13806.0,57.0,11891.0,668.0,2230.0,315.6,7281.0,24.0,231.0,132.5,1401.0,245.0,1307.0,223.0,306.0,129.3,1980.0,267.0,6241.0,566.0,17.4,2.1,8.0,1.0,21177.0,789.0,13.4,1.1,16.0,0.1,21.0,0.1,20.0,1.1,9.1,1.3,11.1,0.0,0.4,0.2,5.0,0.9,4.7,0.8,1.3,0.5,8.1,1.1,9.5,0.9,0.7011,0.7126,0.8621,0.7471,3.023,0.8391,0.3448,0.1724,0.908,0.5402,1.9655,0.4368,0.7471,0.4828,1.2299,0.6552,0.6897,0.3678,0.4253,0.7241,0.9655,3.1724,0.8391,9.3908,0.8391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4949.0,590.0,8.3,1.0,66724.0
39,OHIO,OH,Medina,39103,"Medina County, Ohio",421.394211613492,175543.0,0.0,70709.0,136.0,66465.0,509.0,11532.0,1097.0,3862.0,423.0,32911.0,629.0,7689.0,510.0,27298.0,162.0,41332.0,72.0,18286.0,831.0,4408.0,453.5,10052.0,132.0,603.0,211.3,4629.0,417.7,750.0,154.0,809.0,193.5,3077.0,306.0,1351.0,293.0,6.6,0.6,4.1,0.4,32911.0,629.0,6.4,0.4,15.6,0.1,23.5,0.0,10.5,0.5,6.6,0.7,5.7,0.1,0.4,0.1,6.5,0.6,1.1,0.2,1.2,0.3,4.6,0.5,0.8,0.2,0.023,0.069,0.0345,0.023,0.1494,0.0115,0.2759,0.6092,0.046,0.0805,1.0115,0.046,0.3563,0.4713,0.8276,0.3678,0.8046,0.0575,0.4138,0.1034,0.023,1.4022999999999999,0.0575,3.3908,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10320.0,941.0,5.9,0.5,144053.0
39,OHIO,OH,Meigs,39105,"Meigs County, Ohio",430.101596658858,23345.0,0.0,11004.0,72.0,9204.0,270.0,5247.0,593.0,1116.0,172.0,21317.0,1314.0,2648.0,246.0,4138.0,21.0,5122.0,12.0,5040.0,408.0,863.0,169.0,720.0,13.0,21.0,82.6,206.0,58.8,2870.0,261.0,148.0,55.2,605.0,102.0,231.0,83.0,22.8,2.5,11.2,1.7,21317.0,1314.0,16.0,1.5,17.7,0.1,21.9,0.1,21.8,1.8,9.4,1.8,3.1,0.1,0.1,0.4,1.9,0.5,26.1,2.4,1.6,0.6,6.6,1.1,1.0,0.4,0.954,0.9885,0.8391,0.9195,3.7011,0.9655,0.7356,0.2644,0.9885,0.5977,2.5862,0.8966,0.0345,0.0575,0.092,0.023,0.1724,0.977,0.7471,0.4943,0.1149,2.5057,0.5057,8.8851,0.7356,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,2520.0,357.0,10.9,1.5,18050.0
39,OHIO,OH,Mercer,39107,"Mercer County, Ohio",462.44919364731,40886.0,0.0,17712.0,76.0,16109.0,264.0,3347.0,467.0,1021.0,216.0,26236.0,974.0,2222.0,234.0,6822.0,33.0,10474.0,30.0,4462.0,395.0,1171.0,220.6,1664.0,81.0,62.0,98.5,580.0,154.0,1064.0,160.0,137.0,59.5,784.0,168.0,486.0,166.0,8.3,1.2,4.7,1.0,26236.0,974.0,8.2,0.9,16.7,0.1,25.6,0.1,11.0,1.0,7.3,1.4,4.1,0.2,0.2,0.3,3.3,0.9,6.0,0.9,0.9,0.4,4.9,1.0,1.2,0.4,0.069,0.1034,0.3333,0.1379,0.6437,0.1034,0.5287,0.9425,0.0805,0.1494,1.7010999999999998,0.2644,0.1954,0.1494,0.3448,0.092,0.4598,0.4483,0.2069,0.1609,0.2299,1.5057,0.1034,4.1954,0.0345,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2263.0,408.0,5.6,1.0,40478.0
